Layer,N,C,H,W,K,R,S,stride,padding,dilation,Trials,Best Time (ms),Std Dev (ms),Tuning Time (min),Status
0,1,3,224,224,64,7,7,2,3,1,1000,0.01009477344521224,0.0,20.24093112150828,Success
1,1,64,56,56,64,3,3,1,1,1,1000,0.010649387866217268,0.0,18.54460826317469,Success
2,1,64,56,56,64,1,1,1,0,1,1000,0.0032347714514194322,0.0,10.995116730531057,Success
3,1,64,56,56,128,3,3,2,1,1,1000,0.009867471992019643,0.0,17.442137161890667,Success
4,1,64,56,56,128,1,1,2,0,1,1000,0.0027685358610914246,0.0,11.92243959903717,Success
5,1,128,28,28,128,3,3,1,1,1,1000,0.013827800215169448,0.0,18.70297239224116,Success
6,1,128,28,28,256,3,3,2,1,1,1000,0.013035898898803874,0.0,19.683053493499756,Success
7,1,128,28,28,256,1,1,2,0,1,1000,0.0029298842758884217,0.0,12.952254700660706,Success
8,1,256,14,14,256,3,3,1,1,1,1000,0.017156382181726146,0.0,19.868813637892405,Success
9,1,256,14,14,512,3,3,2,1,1,1000,0.023276681966677554,0.0,17.982743724187216,Success
10,1,256,14,14,512,1,1,2,0,1,1000,0.0035968860086884715,0.0,12.770659840106964,Success
11,1,512,7,7,512,3,3,1,1,1,1000,0.03566933501683502,0.0,21.854965496063233,Success
